Species_Name,Collection_Number,Biomes,Habit,Habit_Sources,Continents,Continents_Sources
Adenolobus garipensis (E.Mey.) Torre & Hillc.,246,Succulent,Tree/Shrub,https://africanplantdatabase.ch/en/nomen/69549; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:472249-1,Africa,Occurrence map
Adenolobus pechuelii (Kuntze) Torre & Hillc.,6527,Succulent,Tree/Shrub,https://plants.jstor.org/stable/10.5555/al.ap.flora.flosa000110046504001?searchUri=qtype%3Dall%26query%3DAdenolobus%2Bpechuelii; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:472252-1,Africa,Occurrence map
Barklya syringifolia F.Muell.,2449 & 647 merged,Rainforest+Savanna,Tree/Shrub,https://profiles.ala.org.au/opus/foa/profile/Barklya%20syringifolia,Australia,Occurrence map
Bauhinia acreana Harms,106,Rainforest+Savanna,Tree/Shrub,http://reflora.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=61&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=&grupo=5&familia=null&genero=bauhinia&especie=&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica,South_America,Occurrence map
Bauhinia aculeata L.,34983,Rainforest+Savanna+Succulent,Tree/Shrub,"Wunderlin, 1983; http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20aculeata/; Castellanos & Lewis, 2012",Central_America+South_America,Occurrence map
Bauhinia andrieuxii Hemsl.,5943,Succulent,Tree/Shrub,"Wunderlin, 1983",Central_America,Occurrence map
Bauhinia bauhinioides (Mart.) J.F.Macbr.,3862,Savanna+Succulent,Tree/Shrub,"http://reflora.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=25&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=&grupo=5&familia=null&genero=bauhinia&especie=bauhinioides&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica; Quieroz, 2009",South_America,Occurrence map
Bauhinia beguinotii Cufod.,5946,Rainforest,Tree/Shrub,"Wunderlin, 1983; http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20beguinotii/; Forero & Castellanos, 2019; Castellanos & Lewis, 2012",Central_America+South_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30001-2
Bauhinia bowkeri Harv.,13255,Savanna+Succulent,Tree/Shrub,"https://plants.jstor.org/search?qtype=all&query=Bauhinia+bowkeri (Flora of South Africa, 2003)",Africa,Occurrence map
Bauhinia brachycarpa Wall. ex Benth.,224 & 766 merged,Savanna,Tree/Shrub,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200011914,Asia+Northern_Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60457770-2
Bauhinia brevicalyx Du Puy & R.Rabev.,945,Rainforest+Succulent,Tree/Shrub,https://africanplantdatabase.ch/en/nomen/203043; http://legacy.tropicos.org/Name/50216939?projectid=17,Madagascar,Occurrence map
Bauhinia cf. Amaria,768,Succulent,Tree/Shrub,,South_America,Pennington 768 https://data.rbge.org.uk/search/herbarium/?cfg=fulldetails.cfg&specimen_num=96938 & 785 https://data.rbge.org.uk/search/herbarium/?cfg=fulldetails.cfg&specimen_num=96939
Bauhinia chapulhuacania Wunderlin,5050,Rainforest+Succulent,Tree/Shrub,"Wunderlin, 1983",North_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:907532-1
Bauhinia corniculata Benth.,7868,Rainforest+Succulent,Tree/Shrub,"http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20corniculata/; Forero & Castellanos, 2019; Flora do Brasil 2020",South_America,Occurrence map
Bauhinia dipetala Hemsl.,sn,Rainforest+Succulent,Tree/Shrub,"Wunderlin, 1983",Central_America+North_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30040-2
Bauhinia divaricata L.,3491,Rainforest+Succulent,Tree/Shrub,"Wunderlin, 1983; Forero & Castellanos, 2019",Central_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77223345-1
Bauhinia erythrocalyx Wunderlin,888,Rainforest,Tree/Shrub,"Wunderlin, 1983",Central_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30048-2
Bauhinia forficata Link,sn,Rainforest+Savanna+Succulent,Tree/Shrub,"http://reflora.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=61&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=&grupo=5&familia=null&genero=bauhinia&especie=&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica; Quieroz, 2009",South_America,Occurrence map
Bauhinia galpinii N.E.Br.,347,Savanna+Succulent,Tree/Shrub,"De Wit, 1956; http://reflora.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=61&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=&grupo=5&familia=null&genero=bauhinia&especie=&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica; https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1722; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=63120 https://www.zimbabweflora.co.zw/speciesdata/species.php?species_id=126780",Africa,"Flora of Zimbabwe, B. petersiana and B. bowkeri also African species (form a clade)"
Bauhinia grandidieri Baill.,1410,Succulent,Tree/Shrub,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=206580,Madagascar,Occurrence map
Bauhinia grevei Drake,895,Succulent,Tree/Shrub,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=209844,Madagascar,Occurrence map
Bauhinia hildebrandtii Vatke,2899,Succulent,Tree/Shrub,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=202532,Madagascar,Occurrence map
Bauhinia jenningsii P.Wilson,557,Rainforest+Succulent,Tree/Shrub,"Wunderlin, 1983",Central_America+North_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30089-2
Bauhinia kalantha Harms,940,Succulent,Tree/Shrub,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=63142; https://plants.jstor.org/search?qtype=all&query=Bauhinia+kalantha,Africa,Occurrence map
Bauhinia longicuspis Spruce ex Benth.,7963,Rainforest+Savanna,Tree/Shrub,"Flora do Brasil 2020 ; Vaz, 2003; http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20longicuspis/; Forero & Castellanos, 2017; Castellanos & Lewis, 2012",South_America,Occurrence map
Bauhinia lunarioides A.Gray ex S.Watson,566,Succulent,Tree/Shrub,"Wunderlin, 1983",North_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1082649-2
Bauhinia macranthera Benth. ex Hemsl.,13138,Succulent,Tree/Shrub,,North_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30109-2
Bauhinia mollis (Bong.) D.Dietr.,2402,Rainforest+Savanna,Tree/Shrub,http://floradobrasil.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=1&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=en&grupo=5&familia=null&genero=Bauhinia&especie=&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica,South_America,Occurrence map
