,,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,,,
scientificName,Number_Of_Occurrences,Succulent,Rainforest,Grass,Succulent_Rainforest_Overlap,Grass_Rainforest_Overlap,Other_Biomes,Succulent,Rainforest,Grass,Other_Biomes,Succulent_Rainforest_Overlap,Grass_Rainforest_Overlap,Biomes_with_>10%_Occurrences,Litterature_Based_Biomes,Source
Adenolobus garipensis (E.Mey.) Torre & Hillc.,87,74,0,5,0,0,8,0.85,0.00,0.06,0.09,0.00,0.00,Succulent,Succulent,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69549
Adenolobus pechuelii (Kuntze) Torre & Hillc.,50,45,0,4,0,0,1,0.90,0.00,0.08,0.02,0.00,0.00,Succulent,,https://plants.jstor.org/stable/10.5555/al.ap.flora.flosa000110046504001?searchUri=qtype%3Dall%26query%3DAdenolobus%2Bpechuelii; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=177145
Barklya syringifolia F.Muell.,90,0,0,38,0,0,52,0.00,0.00,0.42,0.58,0.00,0.00,Grass,,https://profiles.ala.org.au/opus/foa/profile/Barklya%20syringifolia
Bauhinia acreana Harms,134,3,122,2,0,42,7,0.02,0.87,0.01,0.05,0.00,0.31,Rainforest,Rainforest,Flora do Brasil 2020
Bauhinia aculeata L.,225,63,48,34,17,26,63,0.28,0.34,0.15,0.28,0.08,0.12,Rainforest - Grass - Succulent,,"http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20aculeata/; Wunderlin, 1983; Castellanos & Lewis, 2012"
Bauhinia acuminata L.,68,0,42,21,0,10,5,0.00,0.59,0.31,0.07,0.00,0.15,Rainforest - Grass,,"De Wit, 1956"
Bauhinia acuruana Moric.,330,243,14,66,0,6,7,0.74,0.05,0.20,0.02,0.00,0.02,Grass - Rainforest,Savanna-Succulent,"Vaz, 2003; Flora do Brasil 2020; Lewis, 1987"
Bauhinia affinis Vogel,21,1,0,0,2,0,18,0.05,0.14,0.00,0.86,0.10,0.00,Other,Rainforest,Flora do Brasil 2020
Bauhinia albicans Vogel,15,0,9,1,0,0,5,0.00,0.73,0.07,0.33,0.00,0.00,Rainforest,Rainforest,Flora do Brasil 2020
Bauhinia amambayensis Fortunato,21,19,0,2,0,0,0,0.90,0.00,0.10,0.00,0.00,0.00,Succulent,,
Bauhinia amatlana Wunderlin,3,3,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,,
Bauhinia andrieuxii Hemsl.,22,21,0,0,0,0,1,0.95,0.05,0.00,0.05,0.00,0.00,Succulent,Succulent,"Wunderlin, 1983"
Bauhinia ankarafantsikae Du Puy & R.Rabev.,6,6,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,,"http://legacy.tropicos.org/Name/50216937?projectid=17; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=211706; Babineau & Bruneau, 2017 (map)"
Bauhinia anomala Hassl.,2,2,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,,
Bauhinia arborea Wunderlin,34,0,33,0,0,1,1,0.00,1.00,0.00,0.03,0.00,0.03,Rainforest,,
Bauhinia argentinensis Burkart,39,37,0,0,0,0,2,0.95,0.00,0.00,0.05,0.00,0.00,Succulent,,
Bauhinia aurantiaca Bojer,10,9,1,0,0,1,0,0.90,0.00,0.00,0.00,0.00,0.10,Rainforest - Succulent,,"https://plants.jstor.org/stable/10.5555/al.ap.specimen.mpu023780?searchUri=qtype%3Dall%26query%3DBauhinia%2Baurantiaca; http://legacy.tropicos.org/Name/13027201?projectid=17; Babineau & Bruneau, 2017"
Bauhinia aureopunctata Ducke,6,0,6,0,0,1,0,0.00,1.00,0.00,0.00,0.00,0.17,Rainforest,Rainforest,"Vaz, 2003; Flora do Brasil 2020"
Bauhinia ayabacensis Wunderlin,2,2,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,,
Bauhinia bartlettii B.L.Turner,5,5,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,,
Bauhinia bauhinioides (Mart.) J.F.Macbr.,103,92,0,8,0,0,3,0.89,0.00,0.08,0.03,0.00,0.00,Succulent,Savanna-Succulent,"Flora do Brasil 2020; Quieroz, 2009"
Bauhinia beguinotii Cufod.,70,0,64,0,0,0,6,0.00,0.80,0.00,0.09,0.00,0.00,Rainforest,Rainforest,"Wunderlin, 1983; Forero & Castellanos, 2019; Castellanos & Lewis, 2012"
Bauhinia bicolor (Bong.) D.Dietr.,31,9,0,20,0,0,2,0.29,0.00,0.65,0.06,0.00,0.00,Grass - Rainforest,,Flora do Brasil 2020
Bauhinia bohniana H.Y.Chen,2,0,0,2,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,Grass,,
Bauhinia bombaciflora Ducke,49,1,6,42,0,2,0,0.02,0.12,0.86,0.00,0.00,0.04,Grass - Rainforest,Savanna-Rainforest,"Vaz, 2003; Flora do Brasil 2020"
Bauhinia bowkeri Harv.,11,8,0,3,0,0,0,0.73,0.00,0.27,0.00,0.00,0.00,Grass - Rainforest,,"https://plants.jstor.org/search?qtype=all&query=Bauhinia+bowkeri (Flora of South Africa, 2003)"
Bauhinia brachycalyx Ducke,71,0,65,4,0,1,2,0.00,0.90,0.06,0.03,0.00,0.01,Rainforest,Rainforest,Flora do Brasil 2020
Bauhinia brachycarpa Wall. ex Benth.,164,0,13,113,0,13,38,0.00,0.07,0.69,0.23,0.00,0.08,Grass,,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200011914
Bauhinia brevicalyx Du Puy & R.Rabev.,17,15,2,0,0,2,0,0.88,0.00,0.00,0.00,0.00,0.12,Rainforest - Succulent,,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=203043; http://legacy.tropicos.org/Name/50216939?projectid=17
Bauhinia brevipes Vogel,310,82,29,189,0,28,10,0.26,0.10,0.61,0.03,0.00,0.09,Grass - Rainforest,Savanna-Succulent,"Flora do Brasil 2020; Lewis, 1987; Quieroz, 2009"
Bauhinia burchellii Benth.,24,1,8,15,0,5,0,0.04,0.29,0.63,0.00,0.00,0.21,Rainforest - Grass,,Flora do Brasil 2020
Bauhinia buscalionii Mattei,4,4,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,Succulent,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=63139; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FWAG.1703005%2Fformat%2Flarge
Bauhinia calliandroides Rusby,1,0,1,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,
Bauhinia caloneura Malme,2,0,0,2,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,Grass,Savanna,Flora do Brasil 2020
